,Unnamed: 0,Unnamed: 0.1,created_on,distancia_minima_privado,distancia_minima_publico,distancia_minima_subte,distancia_obelisco,floor,id,lat,lon,place_name_encoded,price,property_type_encoded,rooms,state_name_encoded,surface_covered_in_m2,surface_total_in_m2,cluster
0,0,,2017-08-24,0.0036354414000000002,0.022072,0.00968237189851,0.0261021821,0.0,3632,-34.6109877599,-58.3634635778,498,,2,2.0,4,128.5,0.0,65
1,1,,2017-08-25,0.0036354414000000002,0.022072,0.20471498168,0.22947800000000002,0.0,3633,-34.7203,-58.2694,171,,2,2.0,3,50.0,0.0,156
2,2,,2017-08-01,0.0036354414000000002,0.022072,0.0027121721882,0.044938535599999996,0.0,2263404,-34.589363323200004,-58.412879858800004,469,,2,2.0,4,48.0,53.0,65
3,3,,2017-08-01,0.0036354414000000002,0.022072,0.0047384332906,0.08451499999999999,0.0,2263405,-34.587423,-58.450516,198,,2,2.0,4,39.0,39.0,123
4,4,,2017-08-01,0.0036354414000000002,0.022072,0.0047384332906,0.08451499999999999,0.0,2263406,-34.587423,-58.450516,198,,2,2.0,4,51.0,51.0,123
5,5,,2017-08-01,0.0036354414000000002,0.022072,0.0047384332906,0.08451499999999999,0.0,2263407,-34.587423,-58.450516,198,,2,2.0,4,39.0,39.0,123
6,6,,2017-08-01,0.0036354414000000002,0.022072,0.0047384332906,0.08451499999999999,0.0,2263408,-34.587423,-58.450516,198,,2,2.0,4,39.0,39.0,123
7,7,,2017-08-01,0.0036354414000000002,0.022072,0.0047384332906,0.08451499999999999,0.0,2263409,-34.587423,-58.450516,198,,2,2.0,4,39.0,39.0,123
8,8,,2017-08-01,0.0036354414000000002,0.022072,0.0105424587094,0.099795892,0.0,2263410,-34.5787213694,-58.457095261400006,212,,2,2.0,4,67.0,67.0,61
9,9,,2017-08-01,0.0036354414000000002,0.022072,0.0026697004960999997,0.04618819999999999,0.0,2263411,-34.610727000000004,-58.420189199999996,15,,2,2.0,4,47.0,47.0,24
10,10,,2017-08-01,0.0036354414000000002,0.022072,0.0026697004960999997,0.04618819999999999,0.0,2263412,-34.610727000000004,-58.420189199999996,15,,2,2.0,4,47.0,47.0,24
11,11,,2017-08-01,0.0036354414000000002,0.022072,0.0026697004960999997,0.04618819999999999,0.0,2263413,-34.610727000000004,-58.420189199999996,15,,2,2.0,4,47.0,47.0,24
